id,date,sales
1,2023-05-17,2775.7355665787463
2,2023-11-11,1465.478238882989
3,2023-06-16,2606.00404514577
4,2023-10-18,1436.4879439390725
5,2023-05-21,1050.041938431366
6,2023-09-27,1919.2668478220835
7,2023-03-24,1817.1340592514312
8,2023-01-26,2284.6980808730355
9,2023-05-10,
10,2023-11-15,1638.2757332696729
11,2023-12-23,844.7540626175783
12,2023-01-18,1035.877173140836
13,2023-10-01,1730.0055584385482
14,2023-08-18,800.2730602381607
15,2023-09-24,2019.7109206768505
16,2023-09-07,1683.873992266631
17,2023-01-13,1924.2143222565044
18,2023-05-28,1789.5821366702237
19,2023-04-17,3027.608782785172
20,2023-08-04,1669.5549744667376
21,2023-12-02,1586.3869343801648
22,2023-01-19,1983.0222224323772
23,2023-05-12,2114.888356533914
24,2023-06-20,2225.28559947271
25,2023-10-06,2999.6686204772673
26,2023-01-13,3161.913172581696
27,2023-08-24,1498.4258444809807
28,2023-12-04,1149.3188884130361
29,2023-06-19,3460.368323368213
30,2023-05-21,2292.476292041375
31,2023-10-20,1929.011953504223
32,2023-01-07,2676.2411376568607
33,2023-10-05,3436.3867360229456
34,2023-09-25,2733.5066824822025
35,2023-07-07,2410.42934062085
36,2023-09-10,2416.9235774517692
37,2023-09-02,1484.3086372939433
38,2023-06-13,3229.608676332942
39,2023-08-23,846.793483912398
40,2023-09-06,2029.0295574861586
41,2023-02-02,2290.9920243263937
42,2023-02-15,1877.582041865272
43,2023-11-06,2117.6766274743622
44,2023-09-11,1872.0746913057308
45,2023-09-16,2720.4052456294253
46,2023-02-20,2491.2105059443934
47,2023-02-10,1438.6604365182577
48,2023-09-20,2033.3358120025912
49,2023-11-30,2240.2353451153335
50,2023-01-25,1895.7789352215996
